run,accuracy,precision,recall,f1
1,0.8744,0.8603,0.8707,0.8655
2,0.8833,0.8816,0.8646,0.873
3,0.8819,0.882,0.8606,0.8712
4,0.8861,0.8944,0.8556,0.8745
5,0.8749,0.8493,0.8879,0.8681
6,0.8843,0.8795,0.8697,0.8746
7,0.8871,0.8971,0.8545,0.8753
8,0.8796,0.8507,0.898,0.8737
9,0.888,0.8804,0.8778,0.8791
10,0.881,0.8966,0.8404,0.8676

metric,mean,std,min,max
accuracy,0.8821,0.0045,0.8744,0.8880
precision,0.8772,0.0170,0.8493,0.8971
recall,0.8680,0.0160,0.8404,0.8980
f1,0.8723,0.0039,0.8655,0.8791
