embedding_type,run,accuracy,precision,recall,f1
random_fallback,1,0.8847,0.8727,0.8881,0.8804
random_fallback,2,0.8885,0.8687,0.9028,0.8855
random_fallback,3,0.8805,0.8738,0.8763,0.8751
random_fallback,4,0.8744,0.8621,0.8773,0.8696
random_fallback,5,0.8791,0.8683,0.8803,0.8743
random_fallback,6,0.8828,0.8796,0.8744,0.877
random_fallback,7,0.881,0.8639,0.8911,0.8773
random_fallback,8,0.8857,0.8744,0.8881,0.8812
random_fallback,9,0.8754,0.8926,0.84,0.8655
random_fallback,10,0.8852,0.8787,0.8813,0.88
real_wikidata_1838_5072,1,0.8744,0.8603,0.8707,0.8655
real_wikidata_1838_5072,2,0.8833,0.8816,0.8646,0.873
real_wikidata_1838_5072,3,0.8819,0.882,0.8606,0.8712
real_wikidata_1838_5072,4,0.8861,0.8944,0.8556,0.8745
real_wikidata_1838_5072,5,0.8749,0.8493,0.8879,0.8681
real_wikidata_1838_5072,6,0.8843,0.8795,0.8697,0.8746
real_wikidata_1838_5072,7,0.8871,0.8971,0.8545,0.8753
real_wikidata_1838_5072,8,0.8796,0.8507,0.898,0.8737
real_wikidata_1838_5072,9,0.888,0.8804,0.8778,0.8791
real_wikidata_1838_5072,10,0.881,0.8966,0.8404,0.8676

embedding_type,metric,mean,std,min,max
random_fallback,accuracy,0.8817,0.0043,0.8744,0.8885
random_fallback,precision,0.8735,0.0084,0.8621,0.8926
random_fallback,recall,0.8800,0.0156,0.8400,0.9028
random_fallback,f1,0.8766,0.0055,0.8655,0.8855
real_wikidata_1838_5072,accuracy,0.8821,0.0045,0.8744,0.8880
real_wikidata_1838_5072,precision,0.8772,0.0170,0.8493,0.8971
real_wikidata_1838_5072,recall,0.8680,0.0160,0.8404,0.8980
real_wikidata_1838_5072,f1,0.8723,0.0039,0.8655,0.8791
