dataset,run,accuracy,precision,recall,f1
COVID19,1,0.8852,0.8274,0.9575,0.8877
COVID19,2,0.9119,0.9062,0.908,0.9071
COVID19,3,0.9105,0.9012,0.911,0.9061
COVID19,4,0.9124,0.9063,0.909,0.9077
COVID19,5,0.9119,0.9095,0.9041,0.9067
COVID19,6,0.9021,0.8908,0.9041,0.8974
COVID19,7,0.9058,0.8932,0.91,0.9015
COVID19,8,0.903,0.9144,0.8773,0.8955
COVID19,9,0.9039,0.8913,0.908,0.8996
COVID19,10,0.9138,0.898,0.9228,0.9102

dataset,metric,mean,std,min,max
COVID19,accuracy,0.9061,0.0081,0.8852,0.9138
COVID19,precision,0.8938,0.0234,0.8274,0.9144
COVID19,recall,0.9112,0.0189,0.8773,0.9575
COVID19,f1,0.9020,0.0066,0.8877,0.9102
